symbol,close,open,high,low,volume,changePercent,date,companyName,sector,MMM,AXP,AIG,ACN,CHRW,CSCO,DVN,XOM,week_ranges,week_num,MEDV_volume,z_volume
DVN,10.94,11.56,11.57,10.85,9114517,-6.5,2020-06-26,Devon Energy Corp.,"Mining, Quarrying, and Oil and Gas Extraction",0,0,0,0,0,0,1,0,2020-06-24 - 2020-06-30,13,-0.22754672357163638,-0.22754672357163638
DVN,11.12,10.92,11.2,10.76,8125954,1.65,2020-06-29,Devon Energy Corp.,"Mining, Quarrying, and Oil and Gas Extraction",0,0,0,0,0,0,1,0,2020-06-24 - 2020-06-30,13,-0.31621982811954363,-0.31621982811954363
DVN,11.34,10.95,11.43,10.78,8480676,1.98,2020-06-30,Devon Energy Corp.,"Mining, Quarrying, and Oil and Gas Extraction",0,0,0,0,0,0,1,0,2020-06-24 - 2020-06-30,13,-0.28440162230823696,-0.28440162230823696
XOM,37.53,36.86,38.7,36.34,36045930,0.0,2020-04-01,Exxon Mobil Corp.,Manufacturing,0,0,0,0,0,0,0,1,2020-04-01 - 2020-04-07,1,2.188173873468582,2.188173873468582
XOM,40.4,38.74,41.96,37.9,62000162,7.65,2020-04-02,Exxon Mobil Corp.,Manufacturing,0,0,0,0,0,0,0,1,2020-04-01 - 2020-04-07,1,4.516242319886908,4.516242319886908
XOM,39.21,41.45,42.18,38.52,48425662,-2.95,2020-04-03,Exxon Mobil Corp.,Manufacturing,0,0,0,0,0,0,0,1,2020-04-01 - 2020-04-07,1,3.298623354089516,3.298623354089516
XOM,40.47,39.88,40.83,39.23,41301933,3.21,2020-04-06,Exxon Mobil Corp.,Manufacturing,0,0,0,0,0,0,0,1,2020-04-01 - 2020-04-07,1,2.6596320440890824,2.6596320440890824
XOM,41.24,42.9,43.32,41.16,48921827,1.9,2020-04-07,Exxon Mobil Corp.,Manufacturing,0,0,0,0,0,0,0,1,2020-04-01 - 2020-04-07,1,3.3431288544147484,3.3431288544147484
XOM,43.85,41.95,44.04,41.47,33355550,6.33,2020-04-08,Exxon Mobil Corp.,Manufacturing,0,0,0,0,0,0,0,1,2020-04-08 - 2020-04-14,2,1.9468494995909442,1.9468494995909442
XOM,43.13,45.46,46.71,41.74,60208060,-1.64,2020-04-09,Exxon Mobil Corp.,Manufacturing,0,0,0,0,0,0,0,1,2020-04-08 - 2020-04-14,2,4.355492577071819,4.355492577071819
XOM,42.76,44.45,44.69,41.97,29651941,-0.86,2020-04-13,Exxon Mobil Corp.,Manufacturing,0,0,0,0,0,0,0,1,2020-04-08 - 2020-04-14,2,1.6146395058307386,1.6146395058307386
